Type,Name,Price,Coupon,Maturity,YTM,CurrentYield,Rating,Callable
Muni,Asset 40,113.47,4.05,19-Oct-2021,3.106,3.56922534590641,NA,0
Muni,Asset 41,103.46,4.36,28-Mar-2025,3.415,4.21418905857336,NA,1
Muni,Asset 42,114.13,5.35,13-Jul-2029,3.844,4.68763690528345,Not Rated,0
Muni,Asset 43,108.93,4.52,22-Dec-2023,3.784,4.14945377765537,AAA,1
Zero,Asset 44,88.78,0.08,03-Mar-2019,0.107,0.0901103852218968,AAA,0
Corp,Asset 45,109.36,5.05,27-Jan-2020,3.677,4.61777615215801,BBB,0
Muni,Asset 46,108.95,4.34,01-Aug-2020,3.28,3.98347865993575,AA,1
Muni,Asset 47,107.12,3.59,13-Aug-2016,2.845,3.35138162808066,NA,0
Muni,Asset 48,123.72,4.97,11-Mar-2021,3.252,4.01713546718396,NA,0
Corp,Asset 49,109.76,5.7,12-Oct-2015,4.061,5.19314868804665,A,0
Muni,Asset 50,111.35,5.07,23-Jun-2014,3.991,4.55321059721599,AA,0
Muni,Asset 51,112.45,5.03,19-Sep-2017,3.53,4.47309915518008,A,1
Muni,Asset 52,110.38,4.94,29-Jun-2022,3.904,4.47544845080631,A,1
Muni,Asset 53,106.04,5.08,19-Jul-2012,-4.65,4.7906450396077,AA,0
Muni,Asset 54,106.48,4.93,15-Aug-2030,3.598,4.62997746055597,A,1
Corp,Asset 55,110.57,5.84,15-Feb-2018,3.926,5.28172198607217,A,0
Muni,Asset 56,117.12,5.08,07-Dec-2017,4.325,4.33743169398907,AA,1
Muni,Asset 57,120.84,6.65,20-Feb-2022,4.018,5.50314465408805,A,0
Corp,Asset 58,123.95,5.69,05-Jul-2018,3.886,4.59056070996369,AAA,0
Muni,Asset 59,102.03,4.47,11-Jul-2026,3.676,4.38106439282564,Not Rated,1
Corp,Asset 60,103.51,5.53,04-Apr-2020,4.076,5.34247898753744,A,0
Muni,Asset 61,113.64,3.42,26-Sep-2015,2.618,3.00950369588173,AA,0
Muni,Asset 62,110.94,6.41,07-Jul-2029,4.563,5.77789796286281,BBB,1
Corp,Asset 63,45.15,7.23,11-Nov-2027,9.56,16.0132890365449,CCC,0
Muni,Asset 64,116.94,5.49,08-Jan-2016,3.907,4.69471523858389,A,0
Muni,Asset 65,115.17,4.96,30-Oct-2014,3.653,4.30667708604671,AA,0
Muni,Asset 66,36.63,0.03,25-Aug-2031,0.113,0.0819000819000819,AA,0
Muni,Asset 67,105.21,5.25,12-Jul-2031,4.035,4.99001996007984,A,1
Muni,Asset 68,114.77,5.23,08-Apr-2027,3.673,4.5569399668903,AAA,0
Muni,Asset 69,106,3.58,31-Jan-2015,2.869,3.37735849056604,AA,1
Muni,Asset 70,104.33,4.09,23-Sep-2019,3.221,3.92025304322822,Not Rated,1
Corp,Asset 71,101.77,6.37,02-Jan-2021,4.948,6.25921194851135,BB,1
Muni,Asset 72,93.8,4.55,24-Nov-2022,4.486,4.85074626865672,Not Rated,1
Corp,Asset 73,147.11,8.85,23-Dec-2019,5.097,6.01590646455034,AA,0
Corp,Asset 74,107.14,2.96,27-Feb-2016,2.427,2.76274033974239,A,0
Muni,Asset 75,117.87,4.98,03-Oct-2015,3.438,4.22499363705778,AA,0
Corp,Asset 76,121.8,6.11,16-Sep-2039,3.808,5.01642036124795,BBB,0
Muni,Asset 77,16.31,0.03,08-Nov-2040,0.191,0.183936235438381,BBB,1
Muni,Asset 78,106.37,4.48,19-Sep-2025,3.382,4.21171382908715,AA,1
Muni,Asset 79,116.81,4.94,01-Aug-2031,3.426,4.22908997517336,AAA,1
Muni,Asset 80,120.95,5,06-Feb-2017,3.349,4.13393964448119,AA,0
Muni,Asset 81,124.53,5.47,09-Aug-2023,3.487,4.39251585963222,AA,0
Muni,Asset 82,98.85,4.58,20-Aug-2033,3.59,4.6332827516439,NA,1
Muni,Asset 83,114.49,3.96,11-Feb-2020,2.921,3.45881736396192,AAA,0
Muni,Asset 84,119.34,4.87,25-Jan-2041,3.375,4.08077761018937,AA,0
Treas,Asset 85,100.75,0.75,08-Mar-2013,0.502,0.744416873449132,AAA,0
Muni,Asset 86,108.16,5.03,18-Jul-2023,3.769,4.65051775147929,A,1
Corp,Asset 87,93.37,4.72,23-May-2018,4.63,5.05515690264539,A,0
Corp,Asset 88,101.86,1.19,20-Dec-2012,-1.405,1.16827017474966,AAA,0
Muni,Asset 89,102.94,4.76,01-Jun-2024,4.475,4.62405284631824,NA,1
Zero,Asset 90,99.41,-0,12-Mar-2014,0.008,-0,AAA,0
Corp,Asset 91,103.78,3.37,17-May-2018,3.047,3.24725380612835,AAA,1
Muni,Asset 92,116.84,5.07,02-Oct-2038,3.51,4.33926737418692,NA,0
Muni,Asset 93,110.07,3.09,01-Feb-2018,2.494,2.80730444262742,AAA,0
Muni,Asset 94,104.45,1.53,20-Dec-2014,1.425,1.46481570129248,NA,0
Muni,Asset 95,100.93,4.56,15-May-2037,4.051,4.51798276032894,AA,1
Muni,Asset 96,127.07,5.68,07-May-2039,3.901,4.46997717793342,AAA,0
Muni,Asset 97,114.61,4.9,31-Jul-2014,3.358,4.2753686414798,AA,0
Corp,Asset 98,114.82,4,11-Feb-2021,2.937,3.4837136387389,AA,0
Muni,Asset 99,104.27,5.57,28-Oct-2026,4.346,5.3419008343723,BBB,1
Corp,Asset 100,116.17,9.46,09-Feb-2015,5.049,8.14323835757941,BB,0
Muni,Asset 101,119.16,4.97,05-Nov-2016,3.661,4.17086270560591,AA,0
Muni,Asset 102,119.41,4.97,01-Aug-2015,3.373,4.1621304748346,AA,0
Corp,Asset 103,90.84,6.2,04-May-2036,5.329,6.82518714222809,A,1
Muni,Asset 104,124.64,5.79,11-Sep-2016,3.601,4.64537869062901,AA,0
Muni,Asset 105,108.88,5,30-Dec-2030,3.968,4.59221160911095,Not Rated,0
Muni,Asset 106,117.87,4.08,22-Aug-2018,2.907,3.46144057011962,AA,0
Muni,Asset 107,118.44,5.66,13-Nov-2022,4.214,4.77879094900372,AA,1
Corp,Asset 108,97.06,9.04,08-Dec-2014,8.981,9.31382649907274,B,1
Muni,Asset 109,109.78,4.93,22-Feb-2013,-1.783,4.49079978138094,AA,0
Corp,Asset 110,108.11,5.83,08-Sep-2014,3.893,5.3926556285265,A,0
Corp,Asset 111,119.65,8.92,25-Apr-2014,5.206,7.45507730881738,A,0
Muni,Asset 112,122.82,4.97,17-Jan-2021,3.408,4.04657221950822,NA,1
Muni,Asset 113,108.7,3.26,16-Oct-2019,2.678,2.99908003679853,NA,1
Muni,Asset 114,106.63,2.02,10-Jul-2014,1.747,1.89440120041264,AA,0
Muni,Asset 115,103.79,1.99,20-Feb-2018,1.784,1.91733307640428,AA,1
Zero,Asset 116,97.55,0.07,13-May-2015,0.084,0.0717580727831881,AAA,0
Muni,Asset 117,107.18,2.99,01-Oct-2013,1.959,2.78969957081545,NA,0
Muni,Asset 118,122.41,4.98,23-Aug-2017,3.274,4.06829507393187,AA,0
Muni,Asset 119,124.08,5,06-Jul-2020,3.497,4.02965828497743,AAA,1
Muni,Asset 120,126.12,5.03,08-Nov-2018,3.559,3.98826514430701,AAA,0
Muni,Asset 121,111.86,3.92,28-Jun-2015,3.185,3.50438047559449,NA,0
Corp,Asset 122,109.87,4.46,25-Sep-2013,2.48,4.05934285974333,AAA,0
Muni,Asset 123,107.05,1.98,30-Nov-2017,1.832,1.84960298925736,AAA,0
Muni,Asset 124,109.89,3.99,22-Jul-2013,1.549,3.63090363090363,AA,0
Muni,Asset 125,120.46,4.4,06-Jun-2018,3.643,3.65266478499087,AA,0
Corp,Asset 126,95.8,4.01,01-Jul-2016,3.667,4.18580375782881,A,0
Corp,Asset 127,124.64,5.14,29-Jul-2019,3.379,4.12387676508344,AAA,0
Muni,Asset 128,112.71,5.43,20-Aug-2049,3.685,4.81767367580516,AA,1
Muni,Asset 129,120.25,5,16-Jan-2017,3.486,4.15800415800416,AAA,0
Corp,Asset 130,137.31,6.41,01-Aug-2038,3.674,4.66826888063506,A,0
Muni,Asset 131,113.29,3.91,31-Jan-2015,2.911,3.45131962220849,NA,0
Corp,Asset 132,103.04,1.92,11-Feb-2012,-14.216,1.86335403726708,AAA,0
Corp,Asset 133,145.32,7.55,17-Jul-2038,4.087,5.19543077346546,BBB,0
Muni,Asset 134,95.5,5.82,13-Feb-2040,4.299,6.09424083769634,BBB,1
Muni,Asset 135,116.81,5.78,27-Feb-2025,3.745,4.94820648917045,NA,1
Muni,Asset 136,117.9,3.93,13-Jan-2017,2.947,3.33333333333333,AAA,0
Muni,Asset 137,109.49,6.25,07-Mar-2014,3.836,5.70828386153987,Not Rated,0
Muni,Asset 138,92.65,4.43,19-Jan-2032,3.835,4.78143550998381,NA,1
Muni,Asset 139,110,6.47,13-Nov-2012,-2.474,5.88181818181818,Not Rated,0
Muni,Asset 140,117.84,5.1,04-May-2019,3.763,4.32790224032586,NA,0
Muni,Asset 141,108.59,5.54,15-Nov-2012,-2.559,5.10175890966019,AAA,0
Muni,Asset 142,107.95,4.17,31-Jul-2022,3.21,3.86289949050486,AA,1
Muni,Asset 143,104.88,5.16,29-Oct-2035,4.097,4.91990846681922,NA,1
Muni,Asset 144,103.56,4.04,07-Feb-2018,3.208,3.90112012359985,Not Rated,1
Muni,Asset 145,110.19,3.3,16-Apr-2017,2.675,2.99482711679826,NA,0
Corp,Asset 146,102.37,2.37,31-Jan-2013,0.58,2.31513138614829,AA,0
Corp,Asset 147,81.4,10.69,14-Nov-2016,8.851,13.1326781326781,B,1
Corp,Asset 148,107.61,5.07,11-Dec-2012,-1.11,4.71145804293281,A,0
Muni,Asset 149,116.49,6.1,14-Dec-2014,4.854,5.2365009872092,Not Rated,0
Muni,Asset 150,78.59,0,13-May-2020,0.035,0,AA,0
Muni,Asset 151,109.78,4.07,03-Jun-2017,3.65,3.70741482965932,NA,0
Corp,Asset 152,117.46,4.59,21-Jun-2018,3.608,3.9077132640899,AAA,0
Muni,Asset 153,116.11,4.03,23-May-2018,3.295,3.47084661097235,A,0
Muni,Asset 154,115.33,3.58,11-Jun-2017,3.045,3.10413595768664,AAA,0
Muni,Asset 155,94.37,0.03,08-Aug-2016,0.049,0.0317897636960899,AA,0
Corp,Asset 156,102.05,0.88,12-Nov-2014,0.841,0.862322390984811,AAA,1
Muni,Asset 157,117.19,4.96,08-Mar-2017,3.371,4.23244304121512,A,0
Corp,Asset 158,113.98,4.66,15-Jul-2020,3.451,4.08843656781892,BBB,0
Treas,Asset 159,113.13,4.29,11-Aug-2015,3.118,3.79209758684699,AAA,0
Muni,Asset 160,107.57,5.02,14-Aug-2026,3.62,4.66672864181463,A,1
Corp,Asset 161,103.63,3.59,24-Sep-2015,2.927,3.46424780468976,BBB,0
Muni,Asset 162,107.85,4.97,29-Oct-2036,3.895,4.60825220213259,NA,1
Muni,Asset 163,117.5,4.45,01-Oct-2015,3.157,3.78723404255319,AAA,0
Corp,Asset 164,109.7,3.11,21-Jul-2017,2.545,2.83500455788514,AA,0
Corp,Asset 165,96.83,7.22,21-Aug-2017,4.793,7.45636682846225,B,1
Muni,Asset 166,107.1,4.92,30-Jun-2012,-6.77,4.59383753501401,AA,0
Muni,Asset 167,105.42,4.16,21-May-2021,3.68,3.94612028078164,NA,1
Muni,Asset 168,119.78,4.95,21-Jun-2017,3.788,4.13257639004842,NA,0
Muni,Asset 169,112,4.05,04-Jun-2015,3.569,3.61607142857143,AA,0
Muni,Asset 170,125.89,5.07,15-Nov-2020,3.669,4.02732544284693,AA,0
Muni,Asset 171,110.45,5.02,21-Jul-2013,1.799,4.54504300588502,AA,0
Muni,Asset 172,43.08,0,31-Jul-2027,0.06,0,A,0
Muni,Asset 173,107.17,3.84,29-May-2015,3.458,3.58309228328823,NA,1
Muni,Asset 174,117.15,5.02,11-Jan-2017,3.614,4.28510456679471,AA,0
Muni,Asset 175,104.81,4.92,02-Oct-2027,3.714,4.69420856788474,A,1
Muni,Asset 176,111.25,5.94,16-Oct-2028,4.188,5.33932584269663,A,1
Muni,Asset 177,109.78,6.52,19-Sep-2013,3.087,5.93915102933139,NA,0
Corp,Asset 178,90.53,6.37,17-Mar-2034,4.697,7.03634154423948,A,0
Muni,Asset 179,117.17,3.92,27-Dec-2017,3.08,3.34556627122984,AA,0
Corp,Asset 180,104.28,5.27,26-Aug-2025,3.797,5.05370157268891,AA,1
Corp,Asset 181,108.19,4.44,18-Dec-2014,3.803,4.10389130233848,BBB,0
Corp,Asset 182,114.46,7.08,07-Mar-2026,4.318,6.18556701030928,A,0
Corp,Asset 183,107.54,5.05,27-Jan-2013,-1.097,4.69592709689418,A,0
Corp,Asset 184,102.74,5.93,30-May-2021,5.443,5.77185127506327,BBB,0
Corp,Asset 185,95.03,7.7,26-Jun-2020,6.164,8.10270440913396,BBB,0
Muni,Asset 186,104.95,3.64,09-Oct-2016,2.987,3.46831824678418,A,1
Muni,Asset 187,116.42,4.9,08-Nov-2016,3.723,4.20889881463666,AA,0
Muni,Asset 188,90.01,5.66,29-Oct-2037,4.91,6.28819020108877,Not Rated,1
Corp,Asset 189,102.66,1.32,04-Dec-2014,1.273,1.28579777907656,AAA,0
Muni,Asset 190,119.28,4.95,21-Jan-2016,3.438,4.14989939637827,AA,0
Muni,Asset 191,117.46,4.97,29-Jan-2021,3.443,4.23122765196663,AA,0
Muni,Asset 192,110.48,2.91,01-Mar-2019,2.338,2.63396089790007,NA,0
Muni,Asset 193,108.6,5.95,01-Sep-2040,4,5.47882136279926,AA,1
Corp,Asset 194,104.27,2.2,14-Dec-2013,1.973,2.1099069722835,BBB,0
Muni,Asset 195,106.45,5.34,23-Jun-2027,4.412,5.01643964302489,AA,0
Muni,Asset 196,104.69,4.81,15-Apr-2035,3.748,4.5945171458592,AA,1
Corp,Asset 197,102.3,5.27,08-Jan-2012,-13.837,5.15151515151515,BBB,0
Corp,Asset 198,102.97,12.4,13-Jun-2017,9.825,12.0423424298339,B,1
Muni,Asset 199,121.47,4.94,18-Oct-2026,3.438,4.06684778134519,AA,1
Muni,Asset 200,117.89,4.98,15-Oct-2027,3.519,4.22427686826703,AA,1
Muni,Asset 201,106.1,4.46,31-Jul-2024,3.416,4.20358152686145,AA,1
Muni,Asset 202,108.53,4.93,22-Sep-2012,-3.743,4.54252280475445,NA,0
Muni,Asset 203,110.8,4.95,02-Jun-2013,-1.145,4.46750902527076,AAA,0
Corp,Asset 204,103.19,2.32,31-Dec-2012,-1.179,2.24827987208063,AAA,0
Corp,Asset 205,112.96,6.37,07-Oct-2017,4.253,5.63916430594901,AA,0
Muni,Asset 206,113.07,4.08,10-Oct-2018,3.087,3.60838418678695,A,0
Muni,Asset 207,121.48,5.49,16-Nov-2015,4.064,4.51926243002963,AAA,0
Muni,Asset 208,112.8,3.95,27-Jul-2014,2.9,3.50177304964539,AA,0
Corp,Asset 209,136.05,6.06,13-Sep-2028,3.503,4.4542447629548,AAA,0
Corp,Asset 210,106.12,2,06-Sep-2015,1.743,1.88465887674331,AAA,0
Corp,Asset 211,106,5.68,29-Nov-2012,-0.068,5.35849056603774,A,0
Muni,Asset 212,104.72,4.22,14-Jun-2026,3.844,4.02979373567609,AA,1
Muni,Asset 213,121.58,5.21,25-Aug-2018,3.396,4.28524428359928,NA,0
Muni,Asset 214,115.1,5.24,05-Aug-2014,3.49,4.55256298870547,AA,0
Muni,Asset 215,116.56,3.96,21-Jul-2018,2.951,3.39739190116678,NA,1
Muni,Asset 216,110.16,4.32,09-Oct-2017,3.289,3.92156862745098,A,0
Treas,Asset 217,153.8,3.38,11-Apr-2032,2.038,2.19765929778934,AAA,0
Muni,Asset 218,103.05,4.3,22-Aug-2026,3.335,4.17273168364871,AA,1
Corp,Asset 219,122.56,5.44,07-Apr-2018,3.597,4.43864229765013,A,0
Muni,Asset 220,108.03,4.51,09-Nov-2020,3.71,4.17476626862908,Not Rated,0
Corp,Asset 221,109.94,6.96,07-Mar-2020,4.378,6.33072585046389,BBB,0
Muni,Asset 222,29.33,0.05,13-Jul-2034,0.182,0.170473917490624,NA,0
Muni,Asset 223,102.39,4.59,14-Dec-2038,4.239,4.48285965426311,A,1
Muni,Asset 224,116.42,5.31,05-Aug-2025,3.596,4.56107198075932,AA,0
Corp,Asset 225,108.33,6.8,02-Feb-2098,4.445,6.27711621896058,A,0
Corp,Asset 226,125.48,4.97,07-Sep-2033,3.213,3.96079056423334,AAA,0
Zero,Asset 227,85.65,0.09,15-May-2020,0.121,0.10507880910683,AAA,0
Corp,Asset 228,125.51,6,22-Mar-2037,3.708,4.78049557804159,BBB,0
Corp,Asset 229,123.84,5.14,08-Nov-2019,3.68,4.15051679586563,AAA,0
Corp,Asset 230,103.65,5.71,15-Jul-2041,4.282,5.50892426435118,A,0
Corp,Asset 231,106.97,3.94,07-Oct-2020,3.124,3.68327568477143,A,1
Corp,Asset 232,119.83,5.46,11-Mar-2017,3.554,4.55645497788534,AA,0
Muni,Asset 233,111.25,3.06,17-Oct-2015,2.483,2.75056179775281,NA,0
Corp,Asset 234,105.49,4.28,10-Nov-2029,3.633,4.05725661200114,AAA,1
Muni,Asset 235,111.8,2.97,10-Feb-2017,2.366,2.65652951699463,NA,0
Corp,Asset 236,107.91,8.26,09-Mar-2017,4.877,7.65452692058197,BB,1
Muni,Asset 237,117.29,4.46,04-Mar-2025,3.117,3.80254071105806,NA,0
Corp,Asset 238,128.62,5.3,28-Sep-2024,3.359,4.12066552635671,AAA,0
Corp,Asset 239,131.49,7.87,05-Jul-2030,4.72,5.98524602631379,BBB,0
Corp,Asset 240,112.27,5.6,16-May-2035,4.424,4.98797541640688,BBB,0
Corp,Asset 241,110.88,6.01,09-May-2013,-0.175,5.42027417027417,AAA,0
Muni,Asset 242,104.67,5.15,01-Oct-2034,3.832,4.92022547052642,NA,1
Muni,Asset 243,109.98,3.91,03-May-2013,-1.366,3.55519185306419,AAA,0
Muni,Asset 244,113.8,2.91,20-Aug-2017,2.284,2.55711775043937,AAA,0
Muni,Asset 245,114.51,4.91,14-Mar-2015,3.384,4.28783512356999,A,0
Corp,Asset 246,107.05,6.46,30-Mar-2018,4.375,6.03456328818309,A,0
Muni,Asset 247,107.21,4,25-Aug-2018,3.073,3.73099524298107,A,1
Muni,Asset 248,107.71,3.94,16-Nov-2012,-3.47,3.6579704762789,A,0
Muni,Asset 249,113.88,5.16,20-Jul-2014,3.58,4.53108535300316,AAA,0
Treas,Asset 250,102.48,4.35,09-Oct-2012,0.752,4.24473067915691,AAA,0
Corp,Asset 251,85.71,5.95,21-Sep-2029,4.687,6.94201376735503,BBB,1
Muni,Asset 252,108.89,3.29,19-Mar-2019,2.626,3.02139774083938,NA,0
Corp,Asset 253,106.02,5.24,19-Feb-2013,0.989,4.94246368609696,A,0
Corp,Asset 254,105.08,6.3,19-Sep-2015,4.276,5.99543205177008,BB,1
Muni,Asset 255,115.72,4,19-Apr-2018,3.026,3.45661942620118,AA,0
Muni,Asset 256,111.8,4.09,15-Jul-2014,3.072,3.65831842576029,AAA,0
Muni,Asset 257,87.78,5.41,23-Jul-2019,4.497,6.16313511050353,CCC,1
Muni,Asset 258,106.17,1.99,11-Aug-2013,1.128,1.87435245361213,NA,0
Muni,Asset 259,118.57,5.16,18-Dec-2024,4.026,4.35185966095977,AA,1
Muni,Asset 260,113.03,5.48,01-Jun-2015,4.676,4.84827037069805,BBB,0
Corp,Asset 261,106.38,6.06,06-Aug-2037,4.16,5.6965595036661,AA,0
Muni,Asset 262,88.72,5.65,20-Dec-2032,5.458,6.36834986474301,Not Rated,1
Muni,Asset 263,108.95,4.53,23-Aug-2029,3.326,4.15787058283616,AA,1
Corp,Asset 264,100.97,1.95,01-Jul-2014,1.83,1.93126671288502,A,0
Muni,Asset 265,111.06,4.23,12-Jul-2017,3.289,3.80875202593193,AAA,0
Corp,Asset 266,124.41,5.58,05-Jul-2041,3.817,4.48517000241138,BBB,1
Corp,Asset 267,101.38,1.02,28-Aug-2015,0.974,1.00611560465575,AAA,1
Muni,Asset 268,120.25,4.93,26-Jun-2018,3.679,4.0997920997921,AA,1
Muni,Asset 269,98.24,5.39,24-May-2023,5.003,5.48656351791531,Not Rated,1
Corp,Asset 270,91.15,7.41,19-May-2017,6.681,8.12945693911135,CCC,1
Muni,Asset 271,110.67,4.18,25-Nov-2014,3.562,3.77699466883528,AA,0
Corp,Asset 272,99.36,7.81,18-Aug-2024,4.937,7.86030595813205,BB,0
Muni,Asset 273,92.18,0.03,19-Jul-2015,0.07,0.0325450206118464,BBB,0
Corp,Asset 274,114.13,6.61,15-Jun-2040,5.28,5.79164111101376,A,0
Muni,Asset 275,118.31,4.99,21-Jun-2015,3.845,4.21773307412729,AAA,0
Corp,Asset 276,98.18,6.46,26-Nov-2017,5.942,6.5797514768792,BB,0
Muni,Asset 277,121.44,4.91,08-Jul-2017,3.485,4.0431488801054,AA,0
Muni,Asset 278,105.58,5.03,11-Feb-2042,3.681,4.76415987876492,A,1
Corp,Asset 279,100.44,7.71,11-Nov-2018,6.035,7.67622461170848,CCC,1
Muni,Asset 280,122.91,5.66,17-Mar-2024,3.596,4.60499552518103,A,0
Muni,Asset 281,111.3,5.74,21-May-2041,4.663,5.15723270440252,AA,1
Corp,Asset 282,102.76,0.96,28-May-2015,0.922,0.934215648112106,AAA,1
Corp,Asset 283,107.42,4.82,04-Mar-2013,0.205,4.48706013777695,A,0
Muni,Asset 284,82.88,7.16,02-Apr-2039,5.424,8.63899613899614,NA,1
Muni,Asset 285,107.75,4.06,10-Mar-2014,2.894,3.76798143851508,Not Rated,0
Muni,Asset 286,109.45,2.98,06-Jun-2014,2.665,2.72270443124714,AA,0
Muni,Asset 287,111.41,4.54,13-Aug-2025,3.295,4.07503814738354,AAA,1
Muni,Asset 288,110.04,4.93,08-Jan-2038,3.774,4.48018902217375,AA,1
Muni,Asset 289,118.91,3.97,19-Oct-2019,2.941,3.33865949037087,AA,0
Muni,Asset 290,112.96,4.07,20-Jun-2018,3.372,3.60304532577904,AA,0
Corp,Asset 291,66.5,3.85,14-Sep-2027,4.169,5.78947368421053,NA,1
Corp,Asset 292,108.54,2.99,20-Oct-2014,2.458,2.75474479454579,AAA,0
Muni,Asset 293,110.61,2.67,10-Jul-2015,2.234,2.41388662869542,AA,0
Muni,Asset 294,116.34,5.05,22-May-2015,4.014,4.34072545985903,AA,0
Corp,Asset 295,109.69,5.32,13-Sep-2014,3.639,4.85003190810466,AA,0
Muni,Asset 296,110.26,5.31,13-Sep-2013,2.612,4.81588971521857,AA,0
Zero,Asset 297,87.37,0.03,14-Dec-2019,0.053,0.0343367288542978,AAA,0
Muni,Asset 298,106.15,4.31,20-May-2031,3.762,4.06029203956665,AA,1
Zero,Asset 299,70.92,0.03,14-Aug-2025,0.065,0.0423011844331641,AAA,0
Corp,Asset 300,129.94,7.22,09-Mar-2019,4.048,5.55641065106972,A,0
Muni,Asset 301,110.54,5.12,02-Jun-2015,4.503,4.63180749050118,AA,0
Muni,Asset 302,106.46,5.05,19-Jun-2023,4.314,4.74356565846327,BBB,1
Muni,Asset 303,107.66,4,26-May-2018,3.546,3.71540033438603,NA,1
Corp,Asset 304,108.6,3.1,02-Jun-2015,2.809,2.85451197053407,AA,0
Muni,Asset 305,118.25,5.01,04-Jul-2016,3.662,4.23678646934461,AA,0
Muni,Asset 306,106.57,3.05,09-Oct-2018,2.554,2.86196865909731,AA,0
Corp,Asset 307,396.07,0,03-Jan-2016,-0.469,0,AAA,0
Muni,Asset 308,111.75,5.21,20-Sep-2035,3.636,4.66219239373602,A,1
Corp,Asset 309,133.84,7.92,25-Jan-2019,4.361,5.9175134488942,BBB,0
Muni,Asset 310,125.94,5.18,18-Jul-2028,3.442,4.11306971573765,AA,0
Treas,Asset 311,103.54,1.82,20-Jul-2015,1.662,1.75777477303458,AAA,0
Muni,Asset 312,103.56,2.94,05-Apr-2017,2.526,2.83893395133256,NA,0
Muni,Asset 313,113.69,5.08,13-Feb-2033,3.516,4.46829096666374,AAA,1
Corp,Asset 314,117.28,6.87,19-May-2014,5.017,5.85777626193724,A,0
Corp,Asset 315,130.13,7.12,04-Oct-2018,4.142,5.47145162529778,A,0
Corp,Asset 316,115.82,4.73,18-Feb-2021,3.29,4.08392332930409,A,0
